date,Company,Location,Request
06-17,Jio,Chandigarh,800
11-08,Vodafone,Delhi,1800
01-21,Airtel,Kolkata,1800
02-14,Jio,Kolkata,1800
03-18,Vodafone,Delhi,1800
07-19,Jio,Jaipur,800
09-10,Vodafone,Patna,3500
07-16,BSNL,Lucknow,700
09-15,BSNL,Patna,800
01-20,Vodafone,Kolkata,3500
08-15,Airtel,Chandigarh,700
01-20,BSNL,Delhi,1800
12-12,BSNL,Jaipur,3500
09-08,BSNL,Kolkata,1800
11-17,Airtel,Patna,700
02-12,Airtel,Lucknow,3500
09-17,Airtel,Patna,1800
08-21,Vodafone,Lucknow,800
10-20,BSNL,Delhi,800
02-15,Airtel,Delhi,3500
12-20,Airtel,Jaipur,3500
12-12,Airtel,Chandigarh,1800
09-14,Airtel,Jaipur,700
09-12,Airtel,Lucknow,800
08-09,Vodafone,Kolkata,700
06-14,BSNL,Delhi,3500
12-22,Jio,Patna,800
01-15,BSNL,Chandigarh,3500
10-10,Jio,Jaipur,1800
06-11,Vodafone,Jaipur,3500
12-12,BSNL,Kolkata,800
02-12,BSNL,Delhi,800
03-14,Jio,Kolkata,700
10-21,Airtel,Patna,700
05-22,Airtel,Patna,1800
07-16,BSNL,Kolkata,3500
03-21,Vodafone,Patna,700
11-20,BSNL,Lucknow,1800
06-15,Jio,Delhi,3500
03-21,Vodafone,Patna,800
08-14,Airtel,Kolkata,800
04-09,Vodafone,Jaipur,800
10-13,Vodafone,Chandigarh,700
06-16,Airtel,Delhi,3500
02-21,BSNL,Lucknow,800
03-17,Airtel,Chandigarh,1800
11-17,Jio,Kolkata,700
04-14,Jio,Patna,1800
05-08,Jio,Delhi,3500
06-22,Jio,Jaipur,1800
06-11,Vodafone,Patna,800
08-18,Airtel,Lucknow,3500
03-10,Airtel,Patna,3500
05-20,Jio,Jaipur,800
10-20,Vodafone,Patna,3500
06-20,Jio,Delhi,3500
09-22,Vodafone,Patna,3500
02-17,Airtel,Delhi,800
12-15,Vodafone,Kolkata,1800
05-13,BSNL,Patna,800
08-20,Vodafone,Patna,700
04-12,BSNL,Lucknow,700
08-08,BSNL,Lucknow,1800
04-08,Airtel,Patna,3500
03-08,Jio,Patna,1800
03-08,BSNL,Kolkata,800
04-08,Vodafone,Delhi,700
03-08,Airtel,Chandigarh,1800
07-19,BSNL,Jaipur,1800
05-21,Jio,Patna,3500
09-15,Jio,Jaipur,700
05-21,BSNL,Jaipur,3500
10-17,Airtel,Lucknow,700
11-19,Vodafone,Delhi,3500
10-16,Jio,Delhi,800
04-15,Airtel,Chandigarh,700
03-16,Jio,Patna,3500
11-21,Jio,Kolkata,800
12-18,BSNL,Chandigarh,1800
09-14,Vodafone,Patna,700
01-12,Vodafone,Chandigarh,3500
09-20,Airtel,Delhi,1800
06-16,Vodafone,Chandigarh,3500
06-15,Jio,Chandigarh,1800
12-20,Airtel,Jaipur,1800
12-16,Vodafone,Patna,700
08-22,Airtel,Kolkata,1800
10-22,Airtel,Jaipur,1800
08-17,Jio,Delhi,700
04-13,Vodafone,Lucknow,3500
02-17,Airtel,Lucknow,800
08-19,BSNL,Lucknow,3500
04-15,Vodafone,Jaipur,700
07-18,BSNL,Chandigarh,3500
10-09,BSNL,Jaipur,1800
10-20,BSNL,Jaipur,3500
03-11,Vodafone,Patna,800
03-08,Vodafone,Jaipur,3500
01-17,Vodafone,Jaipur,1800
03-12,Airtel,Chandigarh,1800
